date,close,change%,open,volume
2017-04-28,0.044475,27.638,0.034843,81121600.0
2017-04-27,0.034816,6.062,0.032827,16661600.0
2017-04-26,0.032797,1.266,0.03239,11921700.0
2017-04-25,0.032346,2.993,0.031409,13469200.0
2017-04-24,0.031384,0.48,0.031236,6333250.0
2017-04-23,0.031278,-1.882,0.031878,4976320.0
2017-04-22,0.03177,-4.076,0.033122,9020550.0
2017-04-21,0.032779,10.26,0.029727,28245700.0
2017-04-20,0.029984,-0.925,0.030259,25650400.0
2017-04-19,0.030173,-9.071,0.033181,13265600.0
2017-04-18,0.033184,-1.338,0.033638,8970210.0
2017-04-17,0.033655,0.749,0.0334,7933260.0
2017-04-16,0.033462,-1.24,0.03388,5980280.0
2017-04-15,0.033955,1.283,0.033528,4972610.0
2017-04-14,0.033779,-1.401,0.034262,8869300.0
2017-04-13,0.034383,-0.232,0.034459,15872400.0
2017-04-12,0.034336,4.03,0.033002,13437000.0
2017-04-11,0.032952,-2.138,0.033677,11301000.0
2017-04-10,0.033598,-1.524,0.034123,12012700.0
2017-04-09,0.03402,-4.972,0.035799,15695600.0
2017-04-08,0.035849,-1.403,0.036355,14782600.0
2017-04-07,0.03632,10.935,0.03274,36825000.0
2017-04-06,0.032665,-8.438,0.035672,48264600.0
2017-04-05,0.035544,-4.922,0.037386,42360300.0
2017-04-04,0.037455,13.381,0.033032,78538096.0
2017-04-03,0.033023,-45.231,0.060291,155550000.0
2017-04-02,0.061159,178.777,0.021938,230622000.0
2017-04-01,0.021892,0.69,0.021743,30657700.0
2017-03-31,0.020889,60.081,0.013049,72699400.0
2017-03-30,0.013276,31.111,0.010125,19821800.0
2017-03-29,0.010101,6.089,0.009526,3344230.0
2017-03-28,0.009514,-0.523,0.009568,3111280.0
2017-03-27,0.009597,1.16,0.009482,6336150.0
2017-03-26,0.009545,4.258,0.009159,5475230.0
2017-03-25,0.009116,-13.236,0.010502,11334900.0
2017-03-24,0.010518,-0.095,0.010528,24493700.0
2017-03-23,0.010582,45.305,0.007284,12315100.0
2017-03-22,0.007301,5.646,0.006908,4652530.0
2017-03-21,0.006909,-1.286,0.006996,3021440.0
2017-03-20,0.006975,0.868,0.006915,3423710.0
2017-03-19,0.006912,2.672,0.006736,4241970.0
2017-03-18,0.00671,9.288,0.006137,7223300.0
2017-03-17,0.006116,-4.527,0.006406,3442010.0
2017-03-16,0.006394,1.266,0.006319,3860210.0
2017-03-15,0.006314,-0.942,0.00637,1376090.0
2017-03-14,0.006381,0.63,0.006346,1358830.0
2017-03-13,0.006385,1.754,0.006271,2561890.0
2017-03-12,0.006255,0.644,0.006214,1531030.0
2017-03-11,0.006238,0.161,0.006229,1818590.0
2017-03-10,0.006227,-4.306,0.006503,3144440.0
2017-03-09,0.006498,0.154,0.006485,2064660.0
2017-03-08,0.006509,-0.611,0.006551,3432500.0
2017-03-07,0.006534,7.925,0.006057,2901920.0
2017-03-06,0.006057,-1.142,0.006129,1023500.0
2017-03-05,0.006129,-2.544,0.00629,1044760.0
2017-03-04,0.006299,-0.944,0.006354,1372440.0
2017-03-03,0.006339,5.845,0.005988,2703850.0
2017-03-02,0.005991,10.519,0.005419,3811500.0
2017-03-01,0.005408,-2.172,0.005525,1630460.0
2017-02-28,0.005536,-1.248,0.005608,1693350.0
2017-02-27,0.005609,-1.059,0.005665,641126.0
2017-02-26,0.005671,0.177,0.005664,258373.0
2017-02-25,0.005665,-0.702,0.0057,684577.0
2017-02-24,0.005701,-3.06,0.005883,1343690.0
2017-02-23,0.005895,0.683,0.005856,750533.0
2017-02-22,0.00586,0.171,0.005849,500712.0
2017-02-21,0.005832,-0.681,0.005871,653081.0
2017-02-20,0.005873,-0.17,0.005879,880117.0
2017-02-19,0.005878,5.189,0.005589,896856.0
2017-02-18,0.005569,-6.388,0.005949,1866850.0
2017-02-17,0.005935,0.0,0.005939,1160600.0
2017-02-16,0.006027,-1.792,0.006138,1355840.0
2017-02-15,0.006147,-2.07,0.006279,813299.0
2017-02-14,0.006278,0.641,0.00624,671150.0
2017-02-13,0.006251,-0.319,0.006267,462843.0
2017-02-12,0.006269,-0.948,0.006328,230479.0
2017-02-11,0.006333,0.636,0.00629,334607.0
2017-02-10,0.006289,-1.256,0.006367,808768.0
2017-02-09,0.006374,-0.933,0.006433,1700680.0
2017-02-08,0.006438,0.468,0.006407,860217.0
2017-02-07,0.006407,-0.466,0.006437,945440.0
2017-02-06,0.00645,0.155,0.006439,386766.0
2017-02-05,0.006442,-0.77,0.006494,367001.0
2017-02-04,0.006492,0.154,0.006487,314187.0
2017-02-03,0.006474,0.155,0.006466,548263.0
2017-02-02,0.006469,-1.07,0.00654,670888.0
2017-02-01,0.00654,3.644,0.006311,1836820.0
2017-01-31,0.006314,-1.252,0.00639,661444.0
2017-01-30,0.006381,-0.312,0.006402,391822.0
2017-01-29,0.006402,0.787,0.006356,325176.0
2017-01-28,0.006342,-1.092,0.006409,241491.0
2017-01-27,0.006415,-4.038,0.006686,924745.0
